Rory Atkins (ADE), ADE,MID, ,39,59,80,105,104,78,63,113,47,85,54,44,60,0,0,0,109,67,88,111,33,78,69,434100,434100,434100,398200,402700,426700,441900,433500,430300,413900,412400,384900,362500,335800,335800,335800,335800,339300,351800,373300,389300,385800,378400,
Eddie Betts (ADE), ADE,FWD, ,56,77,80,31,0,0,86,65,82,36,85,85,42,0,0,0,63,91,87,61,30,53,63,436400,436400,436400,415600,390400,390400,390400,374300,354900,363200,347500,345000,343600,346000,346000,346000,346000,336500,332000,348700,359500,340200,310700,
Luke Brown (ADE), ADE,DEF, ,62,89,113,71,94,116,59,74,0,12,71,61,0,0,48,53,73,85,83,82,47,66,68,340300,340300,340300,368000,393600,415100,430700,436000,429900,429900,379400,347800,318000,318000,318000,311500,298600,294900,308300,331400,351800,349600,340100,
Kyle Cheney (ADE), ADE,DEF, ,0,0,0,0,0,0,0,0,0,0,0,0,46,0,44,93,69,62,86,0,56,33,67,241800,241800,241800,241800,241800,241800,241800,241800,241800,241800,241800,241800,241800,241800,241800,241800,257300,279100,302700,316700,316700,320600,310200,
Brad Crouch (ADE), ADE,MID, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,529100,529100,529100,529100,529100,529100,529100,529100,529100,529100,529100,529100,529100,529100,529100,529100,529100,529100,529100,529100,529100,529100,529100,
Matt Crouch (ADE), ADE,MID, ,105,51,0,0,0,100,122,92,0,100,106,68,95,0,126,101,85,112,112,127,107,131,119,608300,608300,608300,608300,608300,608300,561300,533400,530100,530100,528200,519800,501500,487000,487000,483000,494600,499100,495700,498000,517700,529600,546000,
Ben Davis (ADE), ADE,DEF, FWD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,
Harry Dear (ADE), ADE,DEF, FWD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,
Tom Doedee (ADE), ADE,DEF, ,86,115,85,57,100,83,68,56,91,104,78,82,59,0,109,120,69,24,0,112,67,79,67,123900,123900,123900,219100,276800,312800,337300,359500,355300,355500,372300,394500,405600,394500,394500,398200,417800,436900,412600,412600,390900,374000,385700,
Richard Douglas (ADE), ADE,MID, ,50,0,114,74,63,124,132,64,80,56,81,76,9,0,92,56,0,0,0,0,55,50,59,450800,450800,450800,450800,438800,436200,437200,463100,481400,474800,436800,416600,399000,366000,366000,345100,320900,320900,320900,320900,320900,323200,305900,
