
DEF
Luke Brown (ADE)
Kyle Cheney (ADE)
Ben Davis (ADE)
Harry Dear (ADE)
Tom Doedee (ADE)
Kyle Hartigan (ADE)
Alex Keath (ADE)
Jake Kelly (ADE)
Rory Laird (ADE)
Andrew McPherson (ADE)
Lachlan Murphy (ADE)
Andy Otten (ADE)
Paul Seedsman (ADE)
Brodie Smith (ADE)
Daniel Talia (ADE)
Harris Andrews (BRL)
Connor Ballenden (BRL)
Cedric Cox (BRL)
Tom Cutler (BRL)
Liam Dawson (BRL)
Matthew Eagles (BRL)
Jack Frost (BRL)
Darcy Gardiner (BRL)
Cian *** Hanley (BRL)
Mitchell Hinge (BRL)
Luke Hodge (BRL)
Sam Mayes (BRL)
Daniel McStay (BRL)
Marco Paparone (BRL)
Jack Payne (BRL)
Daniel Rich (BRL)
Nick Robertson (BRL)
Sam Skinner (BRL)
Josh Walker (BRL)
Alex Witherden (BRL)
Ciaran Byrne (CAR)
Sam Docherty (CAR)
Jesse Glass-McCasker (CAR)
Liam Jones (CAR)
Harrison Macreadie (CAR)
Caleb Marchbank (CAR)
Cillian McDaid (CAR)
Aaron Mullett (CAR)
Lochie O'Brien (CAR)
Cam O'Shea (CAR)
Lachie Plowman (CAR)
Sam Rowe (CAR)
Angus Schumacher (CAR)
Alex Silvagni (CAR)
Kade Simpson (CAR)
Jacob Weitering (CAR)
Tom Williamson (CAR)
James Aish (COL)
Flynn Appleby (COL)
Jack Crisp (COL)
Lynden Dunn (COL)
Tyson Goldsack (COL)
Jeremy Howe (COL)
Tom Langdon (COL)
Brayden Maynard (COL)
Sam McLarty (COL)
Brody Mihocek (COL)
Nathan Murphy (COL)
Sam Murray (COL)
Adam Oxley (COL)
Ben Reid (COL)
Matt Scharenberg (COL)
Josh Smith (COL)
Travis Varcoe (COL)
Patrick Ambrose (ESS)
Mark Baguley (ESS)
Mitch Brown (ESS)
Matt Dea (ESS)
Aaron Francis (ESS)
Martin Gleeson (ESS)
Michael Hartley (ESS)
Michael Hurley (ESS)
Andrew McGrath (ESS)
Conor McKenna (ESS)
Ben McNiece (ESS)
Jackson Merrett (ESS)
Mason Redman (ESS)
Jordan Ridley (ESS)
Adam Saad (ESS)
Brandon Zerk-Thatcher (ESS)
Brennan Cox (FRE)
Taylin Duman (FRE)
Joel Hamling (FRE)
Ethan Hughes (FRE)
Michael Johnson (FRE)
Griffin Logue (FRE)
Ryan Nyhuis (FRE)
Alex Pearce (FRE)
Luke Ryan (FRE)
Tommy Sheridan (FRE)
Lee Spurr (FRE)
Cameron Sutcliffe (FRE)
Nathan Wilson (FRE)
Jack Bowes (GCS)
Pearce Hanley (GCS)
Jarrod Harbrow (GCS)
Jacob Heron (GCS)
Joshua Jaska (GCS)
Jesse Joyce (GCS)
Kade Kolodjashnij (GCS)
Sean Lemmens (GCS)
Jack Leslie (GCS)
Steven May (GCS)
Connor Nutting (GCS)
Jack Scrimshaw (GCS)
Alex Sexton (GCS)
Max Spencer (GCS)
Rory Thompson (GCS)
Mackenzie Willis (GCS)
Jed Bews (GEE)
Ryan Gardner (GEE)
Zach Guthrie (GEE)
Matthew Hayball (GEE)
Lachie Henderson (GEE)
Jake Kolodjashnij (GEE)
Mark O'Connor (GEE)
Tom Stewart (GEE)
Harry Taylor (GEE)
Jackson Thurlow (GEE)
Zach Tuohy (GEE)
Dylan Buckley (GWS)
Matt Buntine (GWS)
Aidan Corr (GWS)
Isaac Cumming (GWS)
Phil Davis (GWS)
Jeremy Finlayson (GWS)
Nick Haynes (GWS)
Harrison Himmelberg (GWS)
Lachlan Keeffe (GWS)
Adam Kennedy (GWS)
Tim Mohr (GWS)
Harry Perryman (GWS)
Heath Shaw (GWS)
Jake Stein (GWS)
Sam Taylor (GWS)
Adam Tomlinson (GWS)
Zac Williams (GWS)
Grant Birchall (HAW)
Kaiden Brand (HAW)
Ryan Burton (HAW)
Taylor Duryea (HAW)
James Frawley (HAW)
Conor Glass (HAW)
Blake Hardwick (HAW)
Kurt Heatherley (HAW)
Teia Miles (HAW)
David Mirra (HAW)
Harry Morrison (HAW)
Connor Nash (HAW)
James Sicily (HAW)
Ben Stratton (HAW)
Angus Brayshaw (MEL)
Sam Frost (MEL)
Michael Hibberd (MEL)
Jayden Hunt (MEL)
Neville Jetta (MEL)
Declan Keilty (MEL)
Jake Lever (MEL)
Oscar McDonald (MEL)
Tom McDonald (MEL)
Patrick McKenna (MEL)
Harrison Petty (MEL)
Christian Salem (MEL)
Joel Smith (MEL)
Bernie Vince (MEL)
Josh Wagner (MEL)
Ryan Clarke (NTH)
Sam Durdin (NTH)
Mitchell Hibberd (NTH)
Jamie Macmillan (NTH)
Luke McDonald (NTH)
Ben McKay (NTH)
Alex Morgan (NTH)
Declan Mountford (NTH)
Tom Murphy (NTH)
Daniel Nielson (NTH)
Robbie Tarrant (NTH)
Scott D. Thompson (NTH)
Ed Vickers-Willis (NTH)
Declan Watson (NTH)
Marley Williams (NTH)
Sam Wright (NTH)
Riley Bonner (PTA)
Matthew Broadbent (PTA)
Darcy Byrne-Jones (PTA)
Tom Clurey (PTA)
Kane Farrell (PTA)
Joel Garner (PTA)
Hamish Hartlett (PTA)
Cameron Hewett (PTA)
Jack Hombsch (PTA)
Dan Houston (PTA)
Dougal Howard (PTA)
Emmanuel Irra (PTA)
Tom Jonas (PTA)
Jarrod Lienert (PTA)
Trent McKenzie (PTA)
Jasper Pittard (PTA)
David Astbury (RIC)
Nathan Broad (RIC)
Reece Conca (RIC)
Brandon Ellis (RIC)
Corey Ellis (RIC)
Ryan Garthwaite (RIC)
Dylan Grimes (RIC)
Bachar Houli (RIC)
Oleg Markov (RIC)
Kamdyn McIntosh (RIC)
Alex Rance (RIC)
Jayden Short (RIC)
Derek Smith (RIC)
Nick Vlastuin (RIC)
Logan Austin (STK)
Nathan J. Brown (STK)
Jake Carlisle (STK)
Oscar Clavarino (STK)
Nicholas Coffield (STK)
Jarryn Geary (STK)
Sam Gilbert (STK)
Hugh Goddard (STK)
Darragh Joyce (STK)
Doulton Langlands (STK)
Daniel McKenzie (STK)
Ben Paton (STK)
Bailey Rice (STK)
Dylan Roberton (STK)
Shane Savage (STK)
Jimmy Webster (STK)
Brandon White (STK)
Aliir Aliir (SYD)
Heath Grundy (SYD)
Alex Johnson (SYD)
Matthew Ling (SYD)
Jake Lloyd (SYD)
Jack Maibaum (SYD)
Harrison Marsh (SYD)
Jarrad McVeigh (SYD)
Lewis Melican (SYD)
Callum Mills (SYD)
Colin O'Riordan (SYD)
Dane Rampe (SYD)
Nick Smith (SYD)
Ryley Stoddart (SYD)
Angus Styles (SYD)
Marcus Adams (WBD)
Shane Biggs (WBD)
Kieran Collins (WBD)
Zaine Cordy (WBD)
Jason Johannisen (WBD)
Brad Lynch (WBD)
Dale Morris (WBD)
Aaron Naughton (WBD)
Ed Richards (WBD)
Fletcher Roberts (WBD)
Roarke Smith (WBD)
Matt Suckling (WBD)
Bailey Williams (WBD)
Easton Wood (WBD)
Lewis Young (WBD)
Tom Barrass (WCE)
Jarrod Brander (WCE)
Thomas Cole (WCE)
Liam Duggan (WCE)
Shannon Hurn (WCE)
Eric Mackenzie (WCE)
Jeremy McGovern (WCE)
Jackson Nelson (WCE)
Josh Rotham (WCE)
Will Schofield (WCE)
Brad Sheppard (WCE)
Francis Watson (WCE)
Elliot Yeo (WCE)

MID
Rory Atkins (ADE)
Brad Crouch (ADE)
Matt Crouch (ADE)
Richard Douglas (ADE)
Jackson Edwards (ADE)
Cam Ellis-Yolmen (ADE)
Darcy Fogarty (ADE)
Jordan Gallucci (ADE)
Bryce Gibbs (ADE)
Sam Gibson (ADE)
Hugh Greenwood (ADE)
Curtly Hampton (ADE)
David Mackay (ADE)
Wayne Milera (ADE)
Myles Poholke (ADE)
Paul Seedsman (ADE)
Matthew Signorello (ADE)
Rory Sloane (ADE)
Patrick Wilson (ADE)
Jacob Allison (BRL)
Zachary Bailey (BRL)
Ryan Bastinac (BRL)
Claye Beams (BRL)
Dayne Beams (BRL)
Jarrod Berry (BRL)
Rohan Bewick (BRL)
Ryan Lester (BRL)
Corey Lyons (BRL)
Rhys Mathieson (BRL)
Hugh McCluggage (BRL)
Cameron Rayner (BRL)
Mitch Robinson (BRL)
Brandon Starcevich (BRL)
Dayne Zorko (BRL)
Patrick Cripps (CAR)
David Cuningham (CAR)
Ed Curnow (CAR)
Paddy Dow (CAR)
Jarrod Garlett (CAR)
Nick Graham (CAR)
Matthew Kennedy (CAR)
Sam Kerridge (CAR)
Marc Murphy (CAR)
Lochie O'Brien (CAR)
Sam Petrevski-Seton (CAR)
Cameron Polson (CAR)
Angus Schumacher (CAR)
Matt Shaw (CAR)
Dale Thomas (CAR)
Taylor Adams (COL)
James Aish (COL)
Tim Broomhead (COL)
Callum Brown (COL)
Tyler Brown (COL)
Josh Daicos (COL)
Jordan de Goey (COL)
Levi Greenwood (COL)
Will Hoskin-Elliott (COL)
Jack Madgen (COL)
Scott Pendlebury (COL)
Tom Phillips (COL)
Steele Sidebottom (COL)
Brayden Sier (COL)
Jaidyn Stephenson (COL)
Adam Treloar (COL)
Daniel Wells (COL)
Rupert Wills (COL)
Dylan Clarke (ESS)
Travis Colyer (ESS)
Brendon Goddard (ESS)
Dyson Heppell (ESS)
Kyle Langford (ESS)
Jake Long (ESS)
Zach Merrett (ESS)
Kobe Mutch (ESS)
David Myers (ESS)
Trent Mynott (ESS)
Darcy Parish (ESS)
David Zaharakis (ESS)
Bailey Banfield (FRE)
